Job Field,Job Title,Job Description,Key Responsibilities,Required Skills & Qualifications
Aerospace,Spacecraft Systems Engineer,"A ""big picture"" engineer who ensures all the different subsystems of a satellite or spacecraft (propulsion, thermal, power, comms) work together as a whole system.","• Define subsystem requirements and interfaces.<br>• Manage the spacecraft's ""budgets"" (mass, power, data).<br>• Oversee the full integration and testing (I&T) of the spacecraft.<br>• Plan mission operations.",• BS or MS in Aerospace or Systems Engineering.<br>• Broad knowledge of multiple engineering disciplines.
Aerospace,Structural Analysis Engineer,A specialized ME or Aero engineer who uses Finite Element Analysis (FEA) to ensure the airframe of a plane or rocket is strong and light enough.,"• Build complex FEA models of aerospace components.<br>• Analyze structures for stress, strain, fatigue, and vibration.<br>• Optimize designs to reduce weight while maintaining safety factors.<br>• Correlate analysis models with physical test data.","• MS in ME or Aerospace preferred.<br>• Expertise in FEA software (e.g., Nastran, Abaqus)."
Aerospace,GNC Engineer,"A Guidance, Navigation, and Control engineer. Designs the ""brain"" of an autonomous vehicle (satellite, missile, drone) that allows it to steer itself.","• Design control loop algorithms (e.g., for an autopilot).<br>• Model the vehicle's dynamics and simulate its flight behavior.<br>• Implement navigation systems using GPS, INS, and star trackers.","• MSEE, MSME, or MSAE required.<br>• Expertise in control theory, dynamics, and MATLAB/Simulink."
Biomedical,Biomedical Engineer (BME),"Applies engineering principles to biology and medicine to design solutions for healthcare, such as medical devices, diagnostics, and therapeutics.","• Design and test medical devices (e.g., glucose monitors, surgical tools).<br>• Research new biological materials or diagnostic methods.<br>• Ensure all products comply with FDA regulations.",• BS or MS in Biomedical Engineering (BME).
Biomedical,Medical Device Engineer,"A BME or ME who focuses specifically on the design and development of mechanical or electromechanical medical devices, like pacemakers, infusion pumps, or prosthetic limbs.",• Design components for medical devices using CAD.<br>• Select biocompatible materials suitable for use in the human body.<br>• Manage the product development process through FDA approval stages.,• BS in BME or ME.<br>• Knowledge of FDA regulations (Design Controls) and ISO 13485.
Biomedical,Clinical Engineer,"A BME who works inside a hospital. They advise on the selection, manage the maintenance, and ensure the safe operation of all medical technology within the hospital.","• Evaluate and recommend new medical equipment purchases (e.g., MRI machines).<br>• Manage the hospital's medical device inventory and maintenance program.<br>• Train clinical staff (doctors, nurses) on the safe use of equipment.<br>• Ensure all devices comply with healthcare safety standards.",• BS or MS in BME.<br>• Often holds a CCE (Certified Clinical Engineer) certification.
Biomedical,Biomechanical Engineer,"A specialist who applies classical mechanics to biological systems. They study the motion and structure of human bodies, organs, and cells.","• Design and test prosthetic limbs and artificial joints (orthopedics).<br>• Analyze human movement (gait analysis) for sports or rehabilitation.<br>• Model the mechanics of human tissue (e.g., arteries, bone).",• MS or PhD in BME or ME (Biomechanics focus) required.
Biomedical,Tissue Engineer,"A research-focused role at the intersection of BME, biology, and materials science. Designs ""scaffolds"" and processes to grow or repair human tissues.",• Develop biocompatible scaffolds that cells can grow on.<br>• Design bioreactors to culture artificial tissues or organs.<br>• Research and apply stem cell therapies for regeneration.,• PhD in BME or Chemical Engineering required. (Highly advanced research field).
Biomedical,BME Quality Engineer,A BME who ensures that medical devices are designed and manufactured in full compliance with FDA regulations and quality standards (ISO 13485).,• Manage the Design History File (DHF) required by the FDA.<br>• Conduct risk analysis (FMEA) on device designs.<br>• Handle the CAPA (Corrective and Preventive Action) process.<br>• Oversee all testing and validation to prove the device is safe and effective.,• BS in BME or related engineering field.<br>• Expertise in FDA 21 CFR 820 and ISO 13485 regulations.
Biomedical,Regulatory Affairs Specialist,An engineering-adjacent role (often held by engineers) responsible for managing the entire regulatory submission process to health agencies like the FDA.,"• Prepare and submit all paperwork for FDA approval (e.g., 510(k), PMA submissions).<br>• Act as the primary contact with regulatory agencies (FDA).<br>• Interpret complex regulatory guidelines for the engineering team.",• BS or MS in BME/Science.<br>• Extreme attention to detail.<br>• RAC (Regulatory Affairs Certification) is highly valued.
Industrial,Industrial Engineer (IE),"An engineer focused on optimizing complex systems and processes to eliminate waste. They make processes faster, safer, more efficient, and more cost-effective.",• Analyze manufacturing or service processes to find bottlenecks.<br>• Use statistical analysis and modeling to improve efficiency.<br>• Design factory floor layouts for optimal workflow.<br>• Implement Lean Manufacturing and Six Sigma principles.,• BS in Industrial & Systems Engineering (ISE).
Manufacturing,Manufacturing Engineer,A hands-on engineer who develops and improves the physical manufacturing processes. They are the expert on the machinery and tools used to make a product.,"• Design and implement assembly lines and work cells.<br>• Select and program manufacturing equipment (e.g., CNC machines, robots).<br>• Troubleshoot daily production issues on the factory floor.<br>• Write work instructions for assembly operators.",• BS in Mechanical or Industrial Engineering.
Manufacturing,Process Engineer,"A general title (used by ChemE, IE, or ME) for an engineer who owns and optimizes a specific manufacturing process from start to finish.","• Monitor process variables (inputs, outputs, yield, quality).<br>• Use statistical process control (SPC) to keep the process stable.<br>• Drive continuous improvement projects to reduce cost or improve quality.","• BS in Engineering (ChemE, ME, IE).<br>• Strong statistical and problem-solving skills."
Industrial,Quality Engineer (QE),"An engineer who designs and manages the quality systems for a manufacturing plant, focusing on preventing defects rather than just finding them.","• Implement and manage the Quality Management System (QMS), like ISO 9001.<br>• Use statistical tools (SPC, Gauge R&R) to analyze product/process quality.<br>• Lead root cause analysis (RCA) and implement corrective actions (CAPA).<br>• Manage supplier quality and audit suppliers.",• BS in Engineering (IE or ME).<br>• Six Sigma (Green/Black Belt) certification is common.
Industrial,Quality Assurance (QA) Manager,Manages the entire Quality department (including QEs and QC Inspectors). Responsible for overall product quality and regulatory compliance.,"• Lead the QA/QC team and department budget.<br>• Serve as the primary host for all customer and regulatory audits.<br>• Maintain the company's QMS (Quality Management System).<br>• Report key quality metrics (defect rates, scrap) to senior leadership.",• BS in Engineering.<br>• 5+ years in a Quality role.<br>• Strong leadership and knowledge of quality standards.
Industrial,Supply Chain Engineer,"An IE who applies engineering and data principles to optimize a company's entire supply chain, from sourcing raw materials to final delivery.",• Use data modeling to optimize inventory levels and warehouse locations.<br>• Design packaging to reduce cost and damage.<br>• Analyze transportation networks and logistics data.<br>• Improve demand forecasting models.,• BS in Industrial & Systems Engineering.
Industrial,Systems Engineer,"A high-level, interdisciplinary engineer responsible for the integration and life-cycle management of large, complex systems (e.g., a defense system, an airplane, a software suite).",• Define the requirements for the entire system.<br>• Manage the interfaces between different engineering sub-teams.<br>• Oversee the full integration and verification & validation (V&V) process.<br>• Manage system requirements throughout the project lifecycle.,"• BS or MS in Engineering (IE, EE, Aero are common)."
Industrial,Logistics Engineer,"An IE who designs and analyzes the physical systems for moving and storing goods, including warehouse layouts, material handling equipment, and transportation networks.","• Design and optimize warehouse layouts and picking processes.<br>• Select material handling equipment (conveyors, AGVs, racking).<br>• Analyze freight costs and optimize shipping routes.",• BS in Industrial or Supply Chain Engineering.
Industrial,Human Factors Engineer,"Also known as an Ergonomics Engineer. Applies knowledge of human psychology and physiology to the design of products and systems to make them safer, more comfortable, and easier to use.",• Design user interfaces (physical or digital) to be intuitive.<br>• Design workstations to reduce repetitive stress injuries.<br>• Conduct usability testing with real users.<br>• Ensure products are safe and effective for human use.,• BS or MS in Industrial Engineering or Cognitive Psychology.
Manufacturing,Manufacturing Plant Manager,The senior leader responsible for all operations within a single manufacturing plant. Often an engineer by training.,"• Manage all aspects of plant operations: production, quality, maintenance, and logistics.<br>• Responsible for the plant's P&L, budget, and operational KPIs.<br>• Ensure a safe (OSHA compliance) and efficient work environment.<br>• Lead continuous improvement and capital expenditure projects.",• BS in Engineering (ME or IE) + MBA preferred.<br>• 10+ years of progressive manufacturing leadership.
Environmental,Environmental Engineer,"Uses principles of biology, chemistry, and engineering to solve environmental problems related to water, air, and land pollution.","• Design water and wastewater treatment systems.<br>• Develop systems for solid waste management and disposal.<br>• Monitor air and water quality to ensure regulatory compliance (EPA).<br>• Design pollution control systems (e.g., smokestack scrubbers).","• BS in Environmental, Civil, or Chemical Engineering."
Environmental,Remediation Engineer,A specialized environmental engineer who designs systems to clean up (remediate) contaminated soil and groundwater sites.,"• Investigate the extent of site contamination (soil/water sampling).<br>• Design cleanup strategies (e.g., soil vapor extraction, chemical oxidation).<br>• Oversee the implementation of cleanup systems in the field.<br>• Prepare reports for environmental regulatory agencies (EPA).",• BS or MS in Environmental or Chemical Engineering.
Petroleum,Petroleum Engineer,An engineer who designs and develops methods for extracting oil and gas from deposits below the Earth's surface.,"• Design and implement drilling operations.<br>• Select and manage drilling equipment and processes.<br>• Oversee the ""completion"" of wells to make them ready for production.<br>• Analyze geological data to find oil and gas reservoirs.",• BS in Petroleum Engineering.
Petroleum,Reservoir Engineer,A specialized petroleum engineer who estimates the size of an oil/gas reservoir and determines the optimal strategy to extract the maximum amount of product.,"• Use computer models to simulate reservoir fluid flow and pressure.<br>• Forecast future production rates and total recoverable reserves.<br>• Plan well placement and optimal extraction methods (e.g., water flooding).",• BS or MS in Petroleum or Chemical Engineering.<br>• Strong simulation and data analysis skills.
Petroleum,Drilling Engineer,"The primary project manager for drilling a well. They design the well path and manage the complex, high-cost drilling operation safely.","• Design the well casing and select the drilling fluid (mud).<br>• Manage the on-site drilling rig operations and budget.<br>• Solve real-time technical drilling problems (e.g., high pressure, equipment failure).","• BS in Petroleum or Mechanical Engineering.<br>• Often works in remote, on-site rotational shifts."
Nuclear,Nuclear Engineer,"Researches and develops the processes, instruments, and systems used to derive benefits from nuclear energy and radiation.",• Design and operate nuclear reactor cores and power plant systems.<br>• Develop protocols for the safe handling and disposal of nuclear waste.<br>• Ensure compliance with NRC (Nuclear Regulatory Commission) safety rules.<br>• Research nuclear fusion or medical applications of radiation.,• BS or MS in Nuclear Engineering.<br>• Must be able to pass extensive background checks and security clearances.
Energy,Solar Energy Systems Engineer,Designs and oversees the installation of commercial-scale or utility-scale solar photovoltaic (PV) power systems.,"• Design solar array layouts and electrical configurations (inverters, wiring).<br>• Perform production modeling (using PVSyst) to forecast energy output.<br>• Select components and ensure all designs meet electrical code.<br>• Coordinate utility interconnection.",• BSEE or BS in Renewable Energy Engineering.<br>• Proficiency in PVSyst and AutoCAD.
Energy,Wind Turbine Engineer,"A specialized ME or EE who designs wind turbine components (blades, gearbox) or manages the operation and maintenance of wind farms.","• Design and analyze turbine blades, generators, and control systems.<br>• Analyze wind data to select optimal turbine sites.<br>• Manage the on-site operations and maintenance of a wind farm.","• BS in ME or EE.<br>• Strong skills in mechanics, power systems, and data analysis."
Agricultural,Agricultural Engineer,"Applies engineering principles (mechanical, civil, chemical) to the challenges of agriculture and food production.","• Design agricultural machinery (tractors, harvesters).<br>• Design irrigation, drainage, and erosion control systems.<br>• Design food processing plants and storage structures (silos, barns).",• BS in Agricultural Engineering or Mechanical Engineering.
Marine,Marine Engineer,"An engineer responsible for the design, operation, and maintenance of the mechanical systems on a ship, such as propulsion, power, and HVAC.","• Design and manage a ship's engines, generators, and HVAC systems.<br>• Work aboard ships managing the engine room (Chief Engineer).<br>• Oversee maintenance and repair of all onboard machinery.",• BS in Marine Engineering.<br>• Often requires a US Coast Guard license (Merchant Mariner Credential).
Marine,Naval Architect,"The engineer who designs the actual ship—its hull, form, and structure. They focus on hydrodynamics, stability, and structural integrity.","• Design the hull shape to optimize speed and stability.<br>• Analyze the ship's structural strength against wave forces.<br>• Ensure the ship meets all maritime safety regulations.<br>• Focuses on the ship's design, while a Marine Engineer focuses on its internal machinery.",• BS or MS in Naval Architecture.
Specialized,Optical Engineer,"A physics/engineering specialist who designs optical components and systems, such as lenses, lasers, telescopes, fiber optics, and camera systems.","• Design lens assemblies and optical instruments using software (e.g., ZEMAX).<br>• Develop and test lasers and fiber optic communication systems.<br>• Design illumination and imaging systems for machine vision.",• MS or PhD in Optical Engineering or Physics required.
Specialized,Acoustical Engineer,"An engineer (often ME) who specializes in the science of sound and vibration. They work to control noise, improve sound quality, or use sound for analysis.","• Design building interiors (theaters, concert halls) for optimal sound.<br>• Design solutions to reduce noise from machinery, highways, or aircraft.<br>• Work on audio products (speakers, microphones).",• BS or MS in ME or Physics (Acoustics focus).
Management,Engineering Project Manager (EPM),"Manages the schedule, budget, and scope of a specific engineering project, coordinating between different engineering teams (ME, EE, SW) and the client.","• Develop and maintain the project schedule, budget, and resource plan.<br>• Act as the primary point of communication for the project.<br>• Identify and mitigate project risks.<br>• Does not typically manage the engineers directly (that is the functional manager).",• BS in Engineering.<br>• PMP (Project Management Professional) certification is highly valued.
Management,Director of Engineering,"A senior executive who manages all engineering departments or functions. Responsible for technical strategy, team leadership, budgeting, and execution.","• Manage the entire engineering department, including all functional managers.<br>• Develop the long-term technical roadmap for the company.<br>• Hire, mentor, and lead the entire engineering team.<br>• Responsible for the departmental budget and successful product delivery.",• BS or MS in Engineering + MBA (often).<br>
Physician Care,General Practitioner (Family Doctor),"A primary care physician who provides comprehensive, continuous healthcare for individuals and families, serving as the first point of contact for a wide variety of medical issues.","• Diagnose and treat acute illnesses (e.g., infections, injuries).<br>• Manage chronic conditions (e.g., diabetes, hypertension).<br>• Provide preventative care, health screenings, and immunizations.<br>• Refer patients to medical specialists for further treatment.","• Skills: Broad medical diagnostic skills, communication, empathy, problem-solving.<br>• Qualifications: Medical Degree (M.D. or D.O.), completion of a Family Medicine Residency, and state medical license."
Physician Care (Specialist),Surgeon (General),"A physician who performs a wide range of surgical operations, often focusing on the abdominal area, to treat diseases, injuries, and deformities.","• Diagnose conditions that require surgical intervention.<br>• Perform operations such as appendectomies, hernia repairs, and cholecystectomies.<br>• Provide pre-operative and post-operative patient care.<br>• Lead the surgical team in the operating room.","• Skills: Exceptional manual dexterity, stamina, leadership, decision-making under pressure.<br>• Qualifications: M.D. or D.O., 5-7 year General Surgery Residency, state license, and board certification."
Physician Care (Specialist),Neurosurgeon,"A highly specialized physician who diagnoses and surgically treats disorders of the central and peripheral nervous system, including the brain, spinal cord, and nerves.","• Perform complex operations on the brain and spinal cord (e.g., tumor removal, aneurysm clipping, spinal fusion).<br>• Diagnose neurological conditions using MRI, CT scans, and other tests.<br>• Manage critical pre- and post-operative neurological care.","• Skills: Elite precision and dexterity, spatial reasoning, intense focus, problem-solving, resilience.<br>• Qualifications: M.D. or D.O., 7-8 year Neurosurgery Residency, state license, board certification."
Physician Care (Specialist),Anesthesiologist,"A physician responsible for administering anesthesia to patients before, during, and after surgical or medical procedures, while monitoring vital signs and managing patient pain.","• Evaluate patients pre-operatively to create an anesthetic plan.<br>• Administer general, regional, or local anesthesia.<br>• Monitor patient vital signs (heart rate, breathing, blood pressure) intra-operatively.<br>• Manage patient pain and recovery immediately post-surgery (in the PACU).","• Skills: Deep knowledge of pharmacology, vigilance, critical thinking, calmness under pressure.<br>• Qualifications: M.D. or D.O., Anesthesiology Residency, state license, board certification."
Physician Care (Specialist),Cardiologist (Non-Invasive),"A physician who diagnoses and treats diseases of the heart and cardiovascular system using non-surgical methods, such as medication, diet, and lifestyle changes.","• Diagnose heart conditions using stress tests, echocardiograms (ECGs), and monitors.<br>• Prescribe medications to treat conditions like high blood pressure and high cholesterol.<br>• Manage patients with chronic heart disease and heart failure.<br>• Counsel patients on preventative heart health.","• Skills: Advanced diagnostic interpretation, pharmacology, patient education, analytical skills.<br>• Qualifications: M.D. or D.O., Internal Medicine Residency followed by a Cardiology Fellowship, board certification."
Physician Care (Specialist),Cardiologist (Interventional),"A cardiologist with additional training who performs catheter-based, minimally invasive procedures to treat structural heart diseases, such as blocked arteries.","• Perform angioplasty and stent placements to open blocked coronary arteries.<br>• Use catheters to repair heart valves (e.g., TAVR).<br>• Diagnose blockages using cardiac catheterization (angiograms).<br>• Manage patient care before and after invasive procedures.","• Skills: High-level dexterity, problem-solving, spatial reasoning, steady hands under pressure.<br>• Qualifications: M.D. or D.O., Cardiology Fellowship followed by an Interventional Cardiology Fellowship, board certification."
Physician Care (Specialist),Radiologist,"A physician who specializes in diagnosing and treating diseases and injuries using medical imaging techniques, such as X-rays, CT scans, MRIs, and ultrasound.","• Interpret and read diagnostic images from X-rays, MRIs, CT scans, etc.<br>• Write detailed reports of findings to provide diagnoses to other physicians.<br>• Perform image-guided procedures (e.g., biopsies, draining fluids).<br>• Consult with other physicians on appropriate imaging tests.","• Skills: Exceptional visual detail, analytical reasoning, pattern recognition, medical knowledge.<br>• Qualifications: M.D. or D.O., Radiology Residency (often followed by a specialization fellowship), state license."
Physician Care (Specialist),Oncologist (Medical),"A physician who diagnoses and treats cancer using chemotherapy, hormone therapy, targeted therapy, and immunotherapy. They are the main care coordinator for cancer patients.",• Diagnose cancer and determine its stage.<br>• Create comprehensive cancer treatment plans.<br>• Administer and manage chemotherapy and immunotherapy infusions.<br>• Coordinate care with surgical oncologists and radiation oncologists.<br>• Manage patient symptoms and treatment side effects.,"• Skills: Deep knowledge of pharmacology, empathy, communication, long-term patient management.<br>• Qualifications: M.D. or D.O., Internal Medicine Residency followed by an Oncology Fellowship, board certification."
Physician Care (Specialist),Pediatrician,"A physician specializing in the medical care of infants, children, and adolescents, providing preventative care and treating common illnesses and injuries.","• Conduct ""well-child"" check-ups, monitoring growth and development.<br>• Administer all scheduled immunizations.<br>• Diagnose and treat common childhood illnesses (colds, infections, rashes).<br>• Advise parents on child nutrition, safety, and behavior.","• Skills: Strong rapport with children, communication with parents, patience, broad diagnostic skills.<br>• Qualifications: M.D. or D.O., Pediatrics Residency, state license, board certification."
Physician Care (Specialist),Obstetrician-Gynecologist (OB/GYN),"A physician specializing in two areas: obstetrics (pregnancy, childbirth, and postpartum care) and gynecology (female reproductive health).","• Provide prenatal care to pregnant women and deliver babies (vaginally or via C-section).<br>• Perform routine gynecological exams (e.g., Pap smears, pelvic exams).<br>• Diagnose and treat conditions of the female reproductive system.<br>• Perform surgeries such as hysterectomies.","• Skills: Stamina, surgical skills, communication, empathy, ability to work long/unpredictable hours.<br>• Qualifications: M.D. or D.O., OB/GYN Residency, state license, board certification."
Physician Care (Specialist),Dermatologist,"A physician who diagnoses and treats conditions related to the skin, hair, and nails, from acne and eczema to skin cancer.","• Diagnose and treat skin conditions (e.g., acne, psoriasis, dermatitis).<br>• Perform full-body skin cancer screenings.<br>• Surgically remove skin cancers, cysts, and moles.<br>• Perform cosmetic procedures (e.g., Botox, fillers, laser therapy).","• Skills: Strong visual diagnosis, knowledge of pathology, precision surgical skills.<br>• Qualifications: M.D. or D.O., Dermatology Residency, state license, board certification."
Physician Care (Specialist),Hospitalist,A physician (typically trained in internal medicine) whose primary professional focus is the general medical care of hospitalized patients. They work exclusively inside the hospital.,"• Admit patients from the emergency department.<br>• Manage and coordinate the entire course of a patient's hospital stay.<br>• Collaborate with specialists and surgeons involved in the patient's care.<br>• Discharge patients, coordinating follow-up with their primary care doctor.","• Skills: Broad diagnostic skills, care coordination, multitasking, communication, efficiency.<br>• Qualifications: M.D. or D.O., Internal Medicine or Family Medicine Residency, board certification."
Physician Care (Specialist),Pathologist,"A physician who examines tissues, organs, bodily fluids, and autopsies to identify and diagnose diseases. They are the ""doctor's doctor"" who provides the definitive diagnosis.","• Diagnose diseases by examining tissue samples (biopsies) under a microscope.<br>• Oversee clinical laboratories (blood banks, microbiology, chemistry labs).<br>• Analyze lab test results and ensure quality control.<br>• Perform autopsies to determine the cause of death.","• Skills: Expert diagnostic and analytical skills, pattern recognition, attention to detail, laboratory management.<br>• Qualifications: M.D. or D.O., Pathology Residency, state license, board certification."
Physician Care (Specialist),Nephrologist,"A physician specializing in diseases of the kidney. They manage patients with chronic kidney disease, acute kidney failure, and those requiring dialysis.","• Diagnose and manage acute and chronic kidney disease.<br>• Manage patient care during dialysis treatments.<br>• Treat kidney stones, hypertension related to kidney disease, and electrolyte imbalances.<br>• Oversee patients post-kidney transplant.","• Skills: Deep knowledge of physiology and internal medicine, long-term patient management.<br>• Qualifications: M.D. or D.O., Internal Medicine Residency followed by a Nephrology Fellowship, board certification."
Physician Care (Specialist),Endocrinologist,"A physician specializing in the endocrine system—the glands and hormones of the body. They primarily treat metabolic disorders like diabetes, thyroid disease, and osteoporosis.","• Diagnose and manage Type 1 and Type 2 diabetes (medication, insulin pumps).<br>• Treat thyroid disorders (hyper/hypothyroidism, thyroid cancer).<br>• Manage metabolic and bone disorders (e.g., osteoporosis, pituitary disorders).<br>• Treat hormonal imbalances and infertility issues.","• Skills: Complex problem-solving, deep knowledge of physiology and biochemistry, patient education.<br>• Qualifications: M.D. or D.O., Internal Medicine Residency followed by an Endocrinology Fellowship, board certification."
Advanced Practice,Nurse Practitioner (NP),"An advanced practice registered nurse (APRN) with a master's or doctoral degree. NPs are trained in a patient-centered (holistic) model and can diagnose illnesses, manage treatment plans, and prescribe medication.","• Perform comprehensive physical examinations and take patient histories.<br>• Order, perform, and interpret diagnostic tests.<br>• Diagnose acute and chronic illnesses and prescribe medications.<br>• Manage a patient's overall care (often as a Primary Care Provider).","• Skills: Advanced diagnostics, pharmacology, patient counseling, holistic care approach.<br>• Qualifications: MSN or DNP degree, active RN license, and national NP certification in a specialty (e.g., FNP, AGNP). Scope of practice varies by state."
Advanced Practice,Physician Assistant (PA),"A licensed medical professional with an advanced degree who works collaboratively with physicians. PAs are trained in a medical (disease-focused) model to diagnose, treat, and prescribe.",• Take detailed patient histories and perform physical exams.<br>• Diagnose and treat illnesses; develop treatment plans.<br>• Prescribe medications.<br>• Assist in surgeries (a common specialty for PAs).<br>• Must work under the supervision or in collaboration with a physician (MD/DO).,"• Skills: Broad medical knowledge, diagnostic skills, adaptability, collaboration, procedural skills.<br>• Qualifications: Master's degree from an accredited PA program; must pass the PANCE certifying exam and hold a state license."
Advanced Practice,Certified Registered Nurse Anesthetist (CRNA),"An APRN with specialized training in anesthesia. CRNAs administer anesthesia and related care before, during, and after procedures, with a similar scope to an anesthesiologist.","• Perform pre-anesthesia patient assessments.<br>• Administer all forms of anesthesia (general, regional, spinal).<br>• Monitor patient vital signs and manage airways during surgery.<br>• Provide post-anesthesia care and pain management.","• Skills: Deep pharmacology knowledge, critical care expertise, vigilance, crisis management.<br>• Qualifications: MSN or DNP, prior critical care (ICU) nursing experience, CRNA program graduation, and national certification."
Advanced Practice,Certified Nurse-Midwife (CNM),"An APRN specializing in women's reproductive health and childbirth. They provide comprehensive care to women before, during, and after pregnancy, focusing on low-intervention and holistic approaches.",• Provide gynecological exams and family planning services.<br>• Manage prenatal care throughout pregnancy.<br>• Manage the labor and delivery process (for low-risk pregnancies).<br>• Provide postpartum and newborn care.,"• Skills: Expertise in childbirth, patient coaching, empathy, clinical assessment.<br>• Qualifications: MSN or DNP, active RN license, graduation from a certified midwifery program, and national certification (AMCB)."
Advanced Practice,Clinical Nurse Specialist (CNS),"An APRN focused on improving patient outcomes and nursing practice within a specific specialty (e.g., oncology, pediatrics). They are expert consultants, educators, and researchers.",• Provide expert clinical care to complex patients within their specialty.<br>• Educate and mentor other nurses and nursing staff on best practices.<br>• Lead evidence-based practice initiatives and quality improvement projects.<br>• Conduct nursing research and develop patient care policies.,"• Skills: Clinical expertise, leadership, mentoring, research, systems-thinking.<br>• Qualifications: MSN or DNP, active RN license, and national CNS certification."
Nursing (Registered),Registered Nurse (RN) - Med/Surg,"The foundational RN role, providing direct care to a diverse range of adult patients who are acutely ill, recovering from surgery, or managing chronic conditions in a hospital setting.","• Assess patient conditions and monitor vital signs.<br>• Administer medications and IV fluids.<br>• Perform wound care and manage post-operative drains.<br>• Educate patients and families on disease management and discharge instructions.<br>• Coordinate care with physicians, therapists, and other staff.","• Skills: Clinical assessment, time management, multitasking, patient education, teamwork.<br>• Qualifications: Associate's Degree in Nursing (ADN) or Bachelor of Science in Nursing (BSN); must pass NCLEX-RN exam and hold a state license."
Nursing (Registered),Intensive Care Unit (ICU) RN,A critical care nurse who manages patients with life-threatening conditions. They work in a high-intensity environment requiring advanced monitoring and rapid intervention.,"• Perform continuous, advanced monitoring of patient vital signs and hemodynamic status.<br>• Manage complex life-support equipment (ventilators, CRRT, ECMO).<br>• Titrate (adjust) continuous IV medications (vasopressors, sedation).<br>• Intervene rapidly in life-threatening emergencies.","• Skills: Advanced clinical assessment, critical thinking, calmness under pressure, technical proficiency, emotional resilience.<br>• Qualifications: RN license (BSN preferred); requires extensive training and certifications like BLS, ACLS. CCRN certification is the specialty standard."
Nursing (Registered),Emergency Room (ER) RN,A specialized nurse who treats patients experiencing trauma or acute illness in a fast-paced emergency department. They must rapidly triage patients and stabilize their conditions.,"• Perform rapid triage to prioritize patients by severity of condition.<br>• Stabilize patients experiencing trauma, cardiac arrest, or stroke.<br>• Administer emergency medications and assist with urgent procedures.<br>• Manage a wide variety of medical conditions simultaneously.<br>• Handle high-stress situations and patient/family anxiety.","• Skills: Rapid assessment, multitasking, adaptability, decisiveness, crisis management.<br>• Qualifications: RN license (BSN preferred); BLS, ACLS, PALS certifications. CEN (Certified Emergency Nurse) is the specialty cert."
Nursing (Registered),Operating Room (OR) RN,"A perioperative nurse who cares for patients before, during, and after surgery. They ensure the operating room is sterile and safe and advocate for the patient while they are under anesthesia.","• Act as a ""Scrub Nurse"" (handling sterile instruments) or ""Circulating Nurse"" (managing the OR environment, documentation, and patient safety).<br>• Prepare the OR, ensuring all equipment is sterile and functional.<br>• Advocate for the patient's safety and needs during the procedure.","• Skills: Meticulous attention to detail, organization, teamwork, adherence to sterile technique.<br>• Qualifications: RN license (BSN preferred). Requires specialized on-the-job training. CNOR certification is the standard."
Nursing (Registered),Labor & Delivery (L&D) RN,"Provides care for women during labor, childbirth, and the immediate postpartum period. They monitor both the mother and fetus, coach the mother, and assist the physician or midwife.","• Monitor the mother's vital signs and the fetal heart rate during labor.<br>• Administer medications (e.g., Pitocin, epidurals) as ordered.<br>• Coach the mother through the pushing and delivery stages.<br>• Assist the provider with the delivery and provide immediate care to the newborn.","• Skills: Patient coaching, fetal monitoring interpretation, empathy, ability to act quickly in emergencies (e.g., C-section).<br>• Qualifications: RN license (BSN preferred); BLS, ACLS, and Neonatal Resuscitation Program (NRP) certifications."
Nursing (Registered),Oncology RN,"A nurse specializing in the care of patients diagnosed with cancer. They administer treatments, manage complex side effects, and provide long-term emotional support.","• Administer chemotherapy, immunotherapy, and other treatments (requires special certification).<br>• Manage the complex side effects of cancer and its treatment (pain, nausea, fatigue).<br>• Educate patients and families on their diagnosis and treatment plan.<br>• Provide psychosocial and end-of-life care and support.","• Skills: IV proficiency, pharmacology knowledge, patient education, deep empathy, emotional resilience.<br>• Qualifications: RN license (BSN preferred); specialized chemotherapy/biotherapy certification required to administer drugs. OCN® cert is the standard."
Nursing (Registered),Pediatric RN,"A nurse specializing in the care of infants, children, and adolescents. They adapt nursing care to the unique physical, developmental, and emotional needs of young patients.",• Perform age-appropriate assessments and monitor development.<br>• Calculate and administer medications based on pediatric dosing.<br>• Provide care for common childhood illnesses and post-surgical recovery.<br>• Communicate with and educate parents/guardians.,"• Skills: Family-centered communication, patience, knowledge of child development, patient education.<br>• Qualifications: RN license (BSN preferred); BLS and PALS (Pediatric Advanced Life Support) certifications. CPN cert is the standard."
Nursing (Registered),Neonatal ICU (NICU) RN,"A critical care nurse who cares for newborn infants born prematurely or with life-threatening conditions like birth defects, infections, or breathing problems.","• Provide highly specialized critical care to premature and sick newborns.<br>• Manage incubators, ventilators, and complex feeding (IV nutrition, gavage feeding).<br>• Monitor the subtle changes in a neonate's condition.<br>• Support and educate anxious parents on their infant's care.","• Skills: Extreme attention to detail, critical care skills, gentle handling, parent communication, emotional resilience.<br>• Qualifications: RN license (BSN preferred); BLS and NRP (Neonatal Resuscitation) certifications."
